********************* June 01 Observing Session - beginning 02:19:51 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50
C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1622519011|Jun 01 03:43:31|69|288.390756|288.396075|5.050102|5.014551|-99.507336|6.223809|27.325794745770004|107.704317908728854|52.393799|1091.769344|1092.275712
1622519013|Jun 01 03:43:33||1392.798976
1622519016|Jun 01 03:43:36||1564.531968
1622519019|Jun 01 03:43:39||1521.455360
1622519022|Jun 01 03:43:42||1362.221056
1622519025|Jun 01 03:43:45|62|288.450347|288.455667|5.050415|5.014748|-99.559215|6.226934|27.325205925372451|107.703221779453088|52.445271|566.622208|567.060736
1622519027|Jun 01 03:43:47|65|288.458198|288.463518|5.050180|5.014498|-99.548286|6.227375|27.325415385383657|107.703800735814369|52.434563|1037.293056|1037.788672
1622519029|Jun 01 03:43:49|59|288.469277|288.474599|5.051204|5.015501|-99.569074|6.216811|27.324124718216105|107.700878234218081|52.454249|1019.429376|1019.931392
1622519031|Jun 01 03:43:51|61|288.479352|288.484672|5.050443|5.014720|-99.596068|6.222851|27.322352231974882|107.700194860227413|52.481081|1266.845184|1267.369728
1622519034|Jun 01 03:43:54||2162.141184
1622519038|Jun 01 03:43:58||1351.617536
1622519041|Jun 01 03:44:01|59|288.516871|288.522192|5.050513|5.014717|-99.569074|6.216811|27.325509789596893|107.703388765841339|52.455178|1232.568064|1233.049856
1622519043|Jun 01 03:44:03|53|288.527439|288.532760|5.050645|5.014828|-99.526259|6.222722|27.323985239858004|107.701592588231307|52.411733|425.556992|425.973504
1622519045|Jun 01 03:44:05|56|288.535298|288.540619|5.050786|5.014954|-99.550475|6.225542|27.324444427984773|107.701855672026710|52.436026|332.322048|332.762112
1622519047|Jun 01 03:44:07||1452.764672
1622519050|Jun 01 03:44:10||1552.074752
1622519053|Jun 01 03:44:13|55|288.567622|288.572944|5.051359|5.015465|-99.597951|6.223353|27.325637748351177|107.702222949784669|52.483574|482.100992|482.533120
1622519055|Jun 01 03:44:15||1908.768512
1622519058|Jun 01 03:44:18|59|288.588524|288.593844|5.050371|5.014436|-99.577806|6.218200|27.324956975469220|107.703028298630457|52.463800|426.709248|427.134720
1622519060|Jun 01 03:44:20|56|288.598022|288.603344|5.051278|5.015325|-99.589206|6.221960|27.324741113356673|107.701409075982426|52.474557|1078.095616|1078.534656
1622519062|Jun 01 03:44:22|57|288.607770|288.613091|5.050910|5.014938|-99.548286|6.227375|27.323474386104621|107.700650716307919|52.433411|1707.692544|1708.129280
1622519065|Jun 01 03:44:25|60|288.620266|288.625588|5.051156|5.015160|-99.562829|6.217840|27.323669612860343|107.700477135235943|52.447872|1741.718272|1742.216704
1622519069|Jun 01 03:44:29|56|288.633654|288.638975|5.050863|5.014841|-99.552033|6.224141|27.325897196944211|107.703255164919142|52.438058|1709.400576|1709.871360
1622519072|Jun 01 03:44:32||1507.213568
1622519075|Jun 01 03:44:35|57|288.659196|288.664518|5.051127|5.015056|-99.597951|6.223353|27.325730980953793|107.702675961836036|52.483752|1167.767296|1168.244480
1622519077|Jun 01 03:44:37|59|288.669751|288.675073|5.051165|5.015073|-99.597951|6.223353|27.324152052179635|107.700966903141264|52.483161|1455.844352|1456.371200
1622519080|Jun 01 03:44:40||1117.276160
1622519083|Jun 01 03:44:43||1561.913344
1622519086|Jun 01 03:44:46|58|288.705128|288.710447|5.050155|5.013994|-99.597951|6.223353|27.325088839019671|107.703498629680482|52.484127|1448.242176|1448.699136
1622519088|Jun 01 03:44:48||1982.757120
1622519092|Jun 01 03:44:52|58|288.732470|288.737789|5.049814|5.013600|-99.655395|6.231497|27.323197556877787|107.702045113192042|52.541104|1272.581888|1273.126144
1622519095|Jun 01 03:44:55|58|288.742579|288.747901|5.051349|5.015116|-99.658205|6.220207|27.326012537698290|107.702629200594544|52.543968|662.602752|663.036672
1622519097|Jun 01 03:44:57|58|288.751179|288.756500|5.050952|5.014702|-99.589206|6.221960|27.325564113786989|107.702771009772619|52.475056|1167.839232|1168.306176
1622519099|Jun 01 03:44:59||1965.906176
1622519103|Jun 01 03:45:03|61|288.777357|288.782676|5.049856|5.013556|-99.608603|6.233484|27.324008348581209|107.702827374237401|52.494577|1050.514176|1050.967040
1622519105|Jun 01 03:45:05|56|288.786649|288.791970|5.050931|5.014612|-99.632579|6.222105|27.324056240788792|107.701227404806602|52.517900|804.669440|805.186048
1622519107|Jun 01 03:45:07|60|288.795566|288.800886|5.049845|5.013509|-99.507336|6.223809|27.322907902419210|107.701694551874041|52.392922|1584.860672|1585.331968
1622519110|Jun 01 03:45:10|57|288.808379|288.813698|5.049881|5.013520|-99.551378|6.222520|27.322729005172249|107.701452620587162|52.436877|1027.398912|1027.847680
1622519113|Jun 01 03:45:13|57|288.818412|288.823734|5.051271|5.014891|-99.630825|6.216095|27.325500901228516|107.702214867463937|52.516453|1383.072256|1383.662080
1622519116|Jun 01 03:45:16|58|288.830260|288.835578|5.049147|5.012744|-99.569630|6.227598|27.324556098173460|107.704489884679262|52.456242|1362.674688|1363.130624
1622519118|Jun 01 03:45:18|59|288.841881|288.847201|5.050616|5.014191|-99.596068|6.222851|27.323173306044097|107.700787235885954|52.481268|700.655360|701.115392
1622519120|Jun 01 03:45:20|59|288.851126|288.856447|5.050758|5.014315|-99.585124|6.224300|27.322621142333510|107.699991579890181|52.470037|1095.471104|1095.904000
1622519123|Jun 01 03:45:23||1206.146304
1622519126|Jun 01 03:45:26|58|288.872997|288.878317|5.050579|5.014093|-99.647103|6.223466|27.324832895631836|107.702579421743266|52.532923|1407.911936|1408.438272
1622519128|Jun 01 03:45:28|55|288.884535|288.889858|5.051969|5.015461|-99.681808|6.216703|27.323456394456556|107.699005749077060|52.566268|1258.313984|1258.821376
1622519131|Jun 01 03:45:31|56|288.894645|288.899966|5.050790|5.014263|-99.596068|6.222851|27.324423676816743|107.701827359285545|52.481609|627.929344|628.518400
1622519133|Jun 01 03:45:33|60|288.903350|288.908669|5.050122|5.013577|-99.551378|6.222520|27.323714208149795|107.702112487718793|52.437081|854.771712|855.192832
1622519135|Jun 01 03:45:35|55|288.912837|288.918157|5.050234|5.013671|-99.558371|6.224419|27.322964866856701|107.701156972424585|52.443734|616.510976|617.109504
1622519138|Jun 01 03:45:38|57|288.922207|288.927526|5.049787|5.013206|-99.602406|6.223141|27.324970540683154|107.703940175442000|52.488769|627.010560|627.430144
1622519140|Jun 01 03:45:40|62|288.930449|288.935768|5.049629|5.013032|-99.593011|6.227707|27.324946252778169|107.704157094026939|52.479463|776.167680|776.643072
1622519142|Jun 01 03:45:42|56|288.940046|288.945368|5.050886|5.014270|-99.616390|6.225605|27.324895246049785|107.702173622056463|52.502041|828.893440|829.352960
1622519144|Jun 01 03:45:44|62|288.949859|288.955177|5.049406|5.012771|-99.593011|6.227707|27.322825395945678|107.702283235589618|52.478840|738.502400|738.973184
1622519146|Jun 01 03:45:46|57|288.958382|288.963702|5.050387|5.013737|-99.617397|6.223062|27.323371166988181|107.701345650215785|52.502811|393.290752|393.817088
1622519148|Jun 01 03:45:48|54|288.965698|288.971019|5.050870|5.014205|-99.598106|6.220531|27.324459274418608|107.701741948853012|52.483610|458.253056|458.688768
1622519150|Jun 01 03:45:50|55|288.973187|288.978505|5.049302|5.012622|-99.549322|6.224830|27.324024260469606|107.703696512207983|52.435647|547.901440|548.343296
1622519152|Jun 01 03:45:52|54|288.981533|288.986853|5.050136|5.013440|-99.569630|6.227598|27.324599727619713|107.703016480137165|52.455642|728.551168|729.041152
1622519154|Jun 01 03:45:54|51|288.990520|288.995839|5.049754|5.013041|-99.581077|6.222918|27.323879427525235|107.702849519761713|52.467068|772.006400|772.531200
1622519156|Jun 01 03:45:56|59|289.000033|289.005352|5.050014|5.013283|-99.574740|6.222616|27.323212272105202|107.701753137050744|52.460329|561.848832|562.268672
1622519158|Jun 01 03:45:58|57|289.008340|289.013660|5.050351|5.013604|-99.602406|6.223141|27.323477850450487|107.701512307180565|52.487881|1666.186752|1666.621696
1622519161|Jun 01 03:46:01|55|289.022206|289.027526|5.050464|5.013689|-99.614357|6.227930|27.322581687504353|107.700403194798611|52.499440|793.746432|794.263296
1622519163|Jun 01 03:46:03|49|289.030115|289.035436|5.050933|5.014143|-99.596068|6.222851|27.323227341187625|107.700357463377628|52.481090|793.495808|793.971200
1622519166|Jun 01 03:46:06|50|289.039997|289.045317|5.050452|5.013643|-99.602406|6.223141|27.324835673383859|107.702777842311178|52.488306|864.445440|864.934912
1622519168|Jun 01 03:46:08||1185.749248
1622519171|Jun 01 03:46:11|55|289.059147|289.064470|5.051900|5.015054|-99.630825|6.216095|27.327091808374490|107.702912151421557|52.516633|1147.805696|1148.341760
1622519173|Jun 01 03:46:13|52|289.070721|289.076044|5.051725|5.014857|-99.671794|6.219636|27.324623798003358|107.700601008267896|52.556825|614.157824|614.611200
1622519175|Jun 01 03:46:15|52|289.077689|289.083014|5.052929|5.016047|-99.622585|6.208107|27.326456242092064|107.700666966788745|52.507524|588.471296|593.869056
1622519177|Jun 01 03:46:17||2196.832512
1622519181|Jun 01 03:46:21||1375.487232
1622519184|Jun 01 03:46:24||1761.701120
1622519187|Jun 01 03:46:27||1477.756416
1622519190|Jun 01 03:46:30||1540.386560
1622519193|Jun 01 03:46:33||1739.049472
1622519196|Jun 01 03:46:36||1370.450176
1622519199|Jun 01 03:46:39||1782.588160
1622519202|Jun 01 03:46:42||1365.061120
1622519205|Jun 01 03:46:45||1782.902016
1622519208|Jun 01 03:46:48||1465.216000
1622519211|Jun 01 03:46:51||1624.786176
1622519214|Jun 01 03:46:54||1653.031168
1622519217|Jun 01 03:46:57||1504.403456
1622519220|Jun 01 03:47:00||1613.292032
1622519223|Jun 01 03:47:03||1449.217536
1622519226|Jun 01 03:47:06||1933.280512
1622519229|Jun 01 03:47:09||1275.749120
1622519232|Jun 01 03:47:12||1572.669440
1622519235|Jun 01 03:47:15||1463.237632
1622519238|Jun 01 03:47:18||1548.830720
1622519241|Jun 01 03:47:21||1837.288704
1622519244|Jun 01 03:47:24||1510.107904
1622519247|Jun 01 03:47:27||1392.607488
1622519250|Jun 01 03:47:30||1842.488064
1622519253|Jun 01 03:47:33||1445.876992
1622519256|Jun 01 03:47:36||1474.132736
1622519259|Jun 01 03:47:39||1827.535616
1622519262|Jun 01 03:47:42||1426.734592
1622519265|Jun 01 03:47:45||1440.489728
1622519268|Jun 01 03:47:48||1746.527488
1622519271|Jun 01 03:47:51||1497.167616
1622519274|Jun 01 03:47:54||1463.353856
1622519277|Jun 01 03:47:57||1795.047936
1622519280|Jun 01 03:48:00||1505.708288
1622519283|Jun 01 03:48:03||1710.490368
1622519286|Jun 01 03:48:06||1384.756992
1622519289|Jun 01 03:48:09||1516.385536
1622519292|Jun 01 03:48:12||2013.636864
1622519295|Jun 01 03:48:15||1208.539392
1622519298|Jun 01 03:48:18||1523.774208
1622519301|Jun 01 03:48:21||1911.274496
1622519304|Jun 01 03:48:24||1498.005760
1622519307|Jun 01 03:48:27||1496.748288
1622519310|Jun 01 03:48:30||1512.313856
1622519313|Jun 01 03:48:33||1510.076416
1622519316|Jun 01 03:48:36||1515.442176
1622519319|Jun 01 03:48:39||1958.287616
1622519322|Jun 01 03:48:42||1550.339072
1622519325|Jun 01 03:48:45||1422.178816
1622519328|Jun 01 03:48:48||1485.642240
1622519331|Jun 01 03:48:51||1881.414144
1622519334|Jun 01 03:48:54||1408.349440
1622519337|Jun 01 03:48:57||1427.915776
1622519340|Jun 01 03:49:00||1867.368192
1622519343|Jun 01 03:49:03||1256.109312
1622519346|Jun 01 03:49:06||1530.764288
1622519349|Jun 01 03:49:09||1934.032384
1622519352|Jun 01 03:49:12||1429.642240
1622519355|Jun 01 03:49:15||1553.581824
1622519358|Jun 01 03:49:18||1647.413248
1622519361|Jun 01 03:49:21||1420.196352
1622519364|Jun 01 03:49:24||1791.597824
1622519367|Jun 01 03:49:27||1400.505600
1622519370|Jun 01 03:49:30||1896.423424
1622519373|Jun 01 03:49:33||1189.305344
1622519376|Jun 01 03:49:36||1506.176512
1622519379|Jun 01 03:49:39||1905.418240
1622519382|Jun 01 03:49:42||1494.898688
1622519385|Jun 01 03:49:45||1459.320064
1622519388|Jun 01 03:49:48|42|289.968250|289.973572|5.052529|5.013932|-99.433977|6.239457|27.325724039923742|107.700515173046512|52.318902|1424.795392|1425.270016
1622519391|Jun 01 03:49:51||1920.238592
1622519394|Jun 01 03:49:54|42|289.994488|289.999809|5.051988|5.013340|-99.410782|6.230277|27.324501892019150|107.700069001406433|52.295605|1264.629760|1265.153280
1622519397|Jun 01 03:49:57||1732.314880
1622519400|Jun 01 03:50:00||1820.738048
1622519403|Jun 01 03:50:03||1411.229184
1622519406|Jun 01 03:50:06||1360.737024
1622519409|Jun 01 03:50:09|41|290.055643|290.060962|5.050817|5.012051|-99.430665|6.230572|27.324811178952835|107.702191306316649|52.316328|1462.927872|1463.484928
1622519411|Jun 01 03:50:11||1769.485312
1622519415|Jun 01 03:50:15||1797.059072
1622519418|Jun 01 03:50:18||1344.116224
1622519421|Jun 01 03:50:21||1689.708800
1622519424|Jun 01 03:50:24||1402.524672
1622519427|Jun 01 03:50:27|46|290.131326|290.136646|5.051228|5.012317|-99.430665|6.230572|27.324742404306328|107.701488340230412|52.316048|1515.774464|1516.306176
1622519429|Jun 01 03:50:29||1636.768768
1622519433|Jun 01 03:50:33||1837.829888
1622519436|Jun 01 03:50:36||1545.854976
1622519439|Jun 01 03:50:39||1548.841728
1622519442|Jun 01 03:50:42|44|290.194103|290.199425|5.052117|5.013086|-99.473012|6.238535|27.325270075018906|107.700673633076633|52.358030|1208.048384|1208.514816
1622519444|Jun 01 03:50:44|43|290.205673|290.210992|5.051029|5.011975|-99.476946|6.230926|27.322184120722738|107.699119429198205|52.361534|1604.858624|1605.297664
1622519447|Jun 01 03:50:47||1907.144448
1622519451|Jun 01 03:50:51||1385.326080
1622519454|Jun 01 03:50:54||1557.371392
1622519457|Jun 01 03:50:57||1877.922816
1622519460|Jun 01 03:51:00||1515.857920
1622519463|Jun 01 03:51:03||1542.550784
1622519466|Jun 01 03:51:06||1566.271232
1622519469|Jun 01 03:51:09||1553.100800
1622519472|Jun 01 03:51:12||1392.126720
1622519475|Jun 01 03:51:15|42|290.332148|290.337465|5.050362|5.011066|-99.401640|6.228601|27.323952937371111|107.701992920153685|52.287278|1395.931904|1396.472576
1622519477|Jun 01 03:51:17|43|290.342708|290.348025|5.050162|5.010845|-99.551857|6.226721|27.322208064566055|107.700476591842673|52.436994|1045.920768|1062.013696
1622519480|Jun 01 03:51:20|45|290.353046|290.358363|5.050517|5.011181|-99.528273|6.226641|27.324053432383828|107.701859279175551|52.413851|874.095360|874.734592
1622519482|Jun 01 03:51:22|45|290.363305|290.368623|5.050506|5.011150|-99.437627|6.225346|27.322656137543305|107.700416378051116|52.322711|2279.780352|2280.231424
1622519486|Jun 01 03:51:26|46|290.376947|290.382264|5.050498|5.011116|-99.606651|6.231286|27.324892653803431|107.702765629258693|52.492542|1269.650688|1270.122496
1622519489|Jun 01 03:51:29|44|290.388681|290.393999|5.051105|5.011701|-99.552538|6.224151|27.325889551857621|107.702876044933674|52.438410|922.055680|922.535680
1622519491|Jun 01 03:51:31||1476.796416
1622519494|Jun 01 03:51:34|51|290.411329|290.416647|5.050763|5.011315|-99.512908|6.227638|27.324373920041438|107.701816711865419|52.398448|1357.384704|1357.838080
1622519497|Jun 01 03:51:37|46|290.423829|290.429144|5.049410|5.009938|-99.480495|6.216833|27.323477840062822|107.702959364580892|52.366556|1381.819904|1382.314752
1622519499|Jun 01 03:51:39|46|290.434748|290.440065|5.050508|5.011015|-99.555688|6.219126|27.322354716890082|107.700098064240251|52.440662|1451.101952|1451.682816
1622519502|Jun 01 03:51:42|49|290.449272|290.454590|5.050703|5.011182|-99.379239|6.234844|27.321034924344907|107.698418515451451|52.263617|939.784192|940.238336
1622519505|Jun 01 03:51:45||1671.140608
1622519508|Jun 01 03:51:48|50|290.470091|290.475409|5.051310|5.011749|-99.500546|6.230996|27.324549657249442|107.701160833899479|52.385809|1680.795904|1681.243648
1622519511|Jun 01 03:51:51||1424.915200
1622519514|Jun 01 03:51:54|47|290.494270|290.499585|5.049521|5.009914|-99.551857|6.226721|27.323981556272379|107.703314241678314|52.438030|1311.001856|1311.447808
1622519516|Jun 01 03:51:56|53|290.505634|290.510951|5.050507|5.010878|-99.558714|6.221466|27.322456812866790|107.700206176052703|52.443725|1621.488640|1621.961728
1622519519|Jun 01 03:51:59|49|290.515903|290.521221|5.051038|5.011390|-99.685152|6.219483|27.324471967027854|107.701496403454314|52.570555|1620.425472|1620.956160
1622519522|Jun 01 03:52:02|52|290.531105|290.536425|5.051862|5.012185|-99.539958|6.236591|27.323085504936685|107.698781223898408|52.424350|1280.562688|1281.011200
1622519525|Jun 01 03:52:05|47|290.542224|290.547539|5.049436|5.009737|-99.555688|6.219126|27.322467492958552|107.701862320378197|52.441370|699.097088|699.632896
1622519527|Jun 01 03:52:07|56|290.551546|290.556865|5.051265|5.011548|-99.591287|6.232305|27.323006712047899|107.699616558704548|52.476023|966.507008|966.942208
1622519530|Jun 01 03:52:10|53|290.563081|290.568401|5.051740|5.012001|-99.457609|6.239537|27.324059058674258|107.699987500283157|52.342427|928.740352|929.213184
1622519532|Jun 01 03:52:12||1121.251328
1622519535|Jun 01 03:52:15||2118.982656
1622519538|Jun 01 03:52:18||1247.376384
1622519541|Jun 01 03:52:21||1595.292416
1622519544|Jun 01 03:52:24|52|290.619640|290.624959|5.052044|5.012198|-99.669783|6.236952|27.325678485022394|107.701212423954345|52.554994|869.822208|870.262272
1622519546|Jun 01 03:52:26||1143.401984
1622519549|Jun 01 03:52:29||1842.754304
1622519552|Jun 01 03:52:32|52|290.654160|290.659476|5.050489|5.010576|-99.528273|6.226641|27.323820302332479|107.701659127340889|52.413785|1251.663104|1252.105472
1622519555|Jun 01 03:52:35||1577.751296
1622519558|Jun 01 03:52:38||1984.083200
1622519561|Jun 01 03:52:41|48|290.690897|290.696216|5.051648|5.011665|-99.633992|6.223773|27.325240544553417|107.701363529863585|52.519292|712.447744|712.928000
1622519563|Jun 01 03:52:43|46|290.702311|290.707625|5.049568|5.009562|-99.446774|6.227020|27.321593474624116|107.700746673758474|52.332061|953.097216|953.522944
1622519565|Jun 01 03:52:45||1632.499968
1622519569|Jun 01 03:52:49|50|290.725144|290.730459|5.049875|5.009826|-99.446774|6.227020|27.323433791942598|107.702198766072570|52.332530|700.743936|701.265664
1622519571|Jun 01 03:52:51||1612.994304
1622519574|Jun 01 03:52:54|49|290.746450|290.751768|5.051334|5.011245|-99.515921|6.229998|27.324123346605106|107.700677800448588|52.401016|1164.603392|1165.051904
1622519576|Jun 01 03:52:56|51|290.755432|290.760752|5.052427|5.012321|-99.669783|6.236952|27.324410674939813|107.699298863340871|52.554300|1209.353216|1209.816832
1622519579|Jun 01 03:52:59|55|290.769732|290.775045|5.048619|5.008485|-99.368570|6.222346|27.320530378528893|107.701091773506263|52.254065|1052.411392|1052.867072
1622519581|Jun 01 03:53:01|51|290.779659|290.784974|5.050210|5.010057|-99.446774|6.227020|27.320466974539066|107.698581770682566|52.331256|1232.412928|1232.887808
1622519584|Jun 01 03:53:04||1277.845760
1622519587|Jun 01 03:53:07||1656.419072
1622519590|Jun 01 03:53:10||1298.811648
1622519593|Jun 01 03:53:13|49|290.823390|290.828706|5.050460|5.010224|-99.618652|6.224749|27.325312198302704|107.703262582806374|52.504717|1800.524032|1801.011968
1622519596|Jun 01 03:53:16|51|290.838636|290.843953|5.050889|5.010623|-99.545673|6.229374|27.323624880059214|107.700840134848903|52.430866|1032.988416|1033.534464
1622519598|Jun 01 03:53:18||2150.431488
1622519602|Jun 01 03:53:22|51|290.861351|290.866666|5.050145|5.009836|-99.603757|6.219891|27.324836270972959|107.703249587131992|52.489848|960.643328|961.256448
1622519604|Jun 01 03:53:24||2147.349504
